start end
intersection35	hallway35
intersection36	hallway33
intersection37	intersection38
intersection38	hallway37
intersection41	hallway40
intersection41	intersection48
intersection410	hallway42
intersection411	intersection412
intersection412	hallway411
intersection413	hallway49
intersection43	intersection412
intersection44	intersection43
intersection45	intersection44
intersection46	intersection45
intersection48	intersection49
intersection49	intersection410
intersection51	hallway516
intersection510	intersection57
intersection511	intersection510
intersection512	hallway54
intersection512	hallway55
intersection513	hallway54
intersection514	intersection55
intersection52	hallway513
intersection52	intersection53
intersection54	intersection53
intersection55	intersection54
intersection57	hallway51
intersection58	5B
intersection58	hallway52
intersection61	intersection62
intersection610	intersection612
intersection611	hallway62
intersection612	intersection621
intersection613	intersection610
intersection613	intersection614
intersection614	intersection616
intersection615	intersection613
intersection616	intersection615
intersection617	intersection614
intersection618	intersection617
intersection618	intersection619
intersection619	intersection620
intersection62	intersection63
intersection620	intersection617
intersection621	intersection611
intersection622	hallway61
intersection623	intersection622
intersection623	intersection624
intersection624	intersection625
intersection63	intersection64
intersection64	intersection61
intersection65	intersection64
intersection65	intersection68
intersection66	intersection65
intersection67	intersection66
intersection68	intersection67
intersection69	intersection68
intersection71	intersection79
intersection710	intersection79
intersection711	intersection73
intersection712	intersection711
intersection714	intersection78
intersection716	intersection717
intersection717	intersection715
intersection72	intersection71
intersection72	intersection710
intersection73	intersection72
intersection73	intersection74
intersection74	intersection712
intersection75	intersection74
intersection76	intersection716
intersection76	intersection75
intersection77	intersection713
intersection77	intersection76
intersection78	intersection77
IntersectionB10	HallwayB13
IntersectionB11	IntersectionB12
IntersectionB12	HallwayB10
IntersectionB12	IntersectionB14
IntersectionB13	IntersectionB10
IntersectionB14	IntersectionB13
intersectionB20	hallwayB22
intersectionB21	hallwayB20
intersectionB21	stairwellB20
intersectionB22	intersectionB21
intersectionB22	intersectionB24
intersectionB23	hallwayB22
intersectionB23	intersectionB22
intersectionB24	hallwayB21
intersectionB25	intersectionB23
intersectionB30	intersectionB31
intersectionB30	Sagoff Breast Center Surgery
hallwayB30	Sagoff Breast Center Surgery
intersection513	hallway517
intersection510	hallway517
intersection510	Atrium Elevators 5
Atrium Elevators 5	hallway517
intersectionB32	intersectionB30
intersectionB33	intersectionB31
intersectionB40	intersectionB41
intersectionB41	intersectionB43
intersectionB42	intersectionB40
intersectionB43	hallwayB41
Outpatient Psych	hallway24
Pain Management Center	intersection76
Parking1	External Node 6
Parking2	External Node 8
Parking3	ExternalNode5
Patient Relations	hallway37
Physical Therapy	hallway22
Radiology	hallway12
Sagoff Breast Imaging Diagnostic Center	intersectionB40
Sagoff Breast Imaging Diagnostic Center	hallwayB40
StairsB10	stairwellB20
StairsB10	stairwellB30
StairsB10	stairwellB40
StairsB11	HallwayB12
StairsB11	stairwellB21
StairsB11	stairwellB31
StairsB11	stairwellB41
StairsB12	Belkin House Entrance
stairwellB20	elevatorB2
stairwellB20	stairwellB30
stairwellB20	stairwellB40
stairwellB21	stairwellB31
stairwellB21	stairwellB41
stairwellB30	hallwayB30
stairwellB30	stairwellB40
stairwellB31	stairwellB41
Valet Parking	hallway19
Valet Parking	Parking1
Volunteer	intersection31

Preor	hallway112
intersection14 hallway112

Or	hallway112

Recovery	hallway113
hallway113	intersection19

intersection19	intersection14

Pulmonary Lab	hallway114
hallway114	intersection12

Vascular Lab	hallway115
hallway115	intersection12

Linen	hallway116
hallway116	intersection14
hallway116	intersection19

Mat Mgnt	hallway117
hallway117	intersection14
hallway117	intersection19

Cardiology Rehap	hallway118
hallway118	intersection12
hallway118	intersection17

Auditorium	hallway119
hallway119	intersection10
hallway119	intersection110

Special Test	hallway120
hallway120	intersection10
hallway120	intersection12

Ed	hallway121
hallway121	intersection10

Emt	hallway122
hallway122	intersection111
intersection111	intersection10

Admit	hallway123
hallway123	intersection110
hallway123	intersection17

Patient Center	hallway124
hallway124	intersection110

Mri/Ct	hallway125
hallway125	intersection15
