name	x	y
Case Management	2514	2087
hallway60	2514	2071

Pariser Conference Room	2496	1783
hallway61	2512	1783

Hillside Elevators 1	2443	2000
hallway62	2463	2010

intersection61	1656	2071
intersection62	1656	2000
intersection63	1765	2000
intersection64	1770	2071
intersection65	2156	2071
intersection66	2162	2004
intersection67	2268	2005
intersection68	2269	2070
intersection69	2473	2070
intersection610	2560	2070
intersection611	2461	1967
intersection612	2560	1967
intersection613	2760	2070
intersection614	2872	2073
intersection615	2758	2000
intersection616	2868	2000
intersection617	3263	2072
intersection618	3373	2070
intersection619	3370	2000
intersection620	3260	2000
intersection621	2512	1965
intersection622	2517	1448
intersection623	2557	1458
intersection624	2554	1325
intersection625	2530	1320
intersection626	2530	1370
