name	title	location
Case Management	Location	Case Management
hallway60	Location	hallway60

Pariser Conference Room	Location	Pariser Conference Room
hallway61	Location	hallway61

Hillside Elevators 1	Location	Hillside Elevators 1
hallway62	Location	hallway62
