name	x	y
3A - 2513 - 1126
hallway - 2517 - 1144

3B - 2581 - 1134
hallway - 2584 - 1151

3C - 2622 - 1153
hallway - 2619 - 1163


intersection31 - 2554 - 2166
intersection32 - 2554 - 2073
intersection33 - 2554 - 1978
intersection34 - 2514 - 1978
intersection35 - 2514 - 1935
intersection36 - 2514 - 1783
intersection37 - 2514 - 1555
intersection38 - 2473 - 1555
intersection39 - 2473 - 1340
intersection310 - 2409 - 1340
intersection311 - 2411 - 1167
intersection312 - 2430 - 1156
intersection313 - 2465 - 1145
intersection314 - 2409 - 1340
intersection315 - 2515 - 1145
intersection316 - 2515 - 1274
intersection317 - 2515 - 1145
intersection318 - 2515 - 1340
intersection319 - 2473 - 1340
intersection320 - 2515 - 1340
intersection321 - 2623 - 1340
intersection322 - 2625 - 1167
intersection323 - 2600 - 1156
intersection324 - 2559 - 1145
intersection325 - 2515 - 1145















intersection - 2412 - 1167
intersection - 2622 - 1164
intersection - 2622 - 1337
intersection - 2411 - 1337
intersection - 2520 - 1337
intersection - 2520 - 1259
intersection - 1474 - 1549





